Date,PMMoV_gc_g_dry_weight,Plant,Population_Served,SC2_N_gc_g_dry_weight,SC2_Norm
8/16/2022,2700000000,Winters_WTF,7285,60000,2.2222222222222223e-05
8/17/2022,890000000,Winters_WTF,7285,46000,5.1685393258426966e-05
8/18/2022,1700000000,Winters_WTF,7285,170000,0.0001
8/19/2022,,Winters_WTF,7285,,
8/20/2022,,Winters_WTF,7285,,
8/21/2022,,Winters_WTF,7285,,
8/22/2022,,Winters_WTF,7285,,
8/23/2022,980000000,Winters_WTF,7285,91000,9.285714285714286e-05
8/24/2022,500000000,Winters_WTF,7285,210000,0.00042
8/25/2022,850000000,Winters_WTF,7285,200000,0.000235294
8/26/2022,,Winters_WTF,7285,,
8/27/2022,,Winters_WTF,7285,,
8/28/2022,,Winters_WTF,7285,,
8/29/2022,400000000,Winters_WTF,7285,22000,5.5e-05
8/30/2022,270000000,Winters_WTF,7285,12000,4.4444444444444447e-05
8/31/2022,630000000,Winters_WTF,7285,11000,1.746031746031746e-05
9/1/2022,780000000,Winters_WTF,7285,27000,3.461538461538462e-05
9/2/2022,,Winters_WTF,7285,,
9/3/2022,,Winters_WTF,7285,,
9/4/2022,,Winters_WTF,7285,,
9/5/2022,450000000,Winters_WTF,7285,17000,3.777777777777778e-05
9/6/2022,1400000000,Winters_WTF,7285,48000,3.4285714285714284e-05
9/7/2022,490000000,Winters_WTF,7285,6600,1.346938775510204e-05
9/8/2022,1200000000,Winters_WTF,7285,10000,8.333333333333334e-06
9/9/2022,,Winters_WTF,7285,,
9/10/2022,,Winters_WTF,7285,,
9/11/2022,,Winters_WTF,7285,,
9/12/2022,,Winters_WTF,7285,,
9/13/2022,746000000,Winters_WTF,7285,46400,6.219839142091153e-05
9/14/2022,1720000000,Winters_WTF,7285,8780,5.104651162790698e-06
9/15/2022,376000000,Winters_WTF,7285,10400,2.7659574468085105e-05
9/16/2022,,Winters_WTF,7285,,
9/17/2022,,Winters_WTF,7285,,
9/18/2022,,Winters_WTF,7285,,
9/19/2022,,Winters_WTF,7285,,
9/20/2022,1460000000,Winters_WTF,7285,12700,8.698630136986302e-06
9/21/2022,561000000,Winters_WTF,7285,365000,0.000650624
9/22/2022,189000000,Winters_WTF,7285,41600,0.000220106
9/23/2022,,Winters_WTF,7285,,
9/24/2022,,Winters_WTF,7285,,
9/25/2022,,Winters_WTF,7285,,
9/26/2022,690000000,Winters_WTF,7285,21000,3.0434782608695653e-05
9/27/2022,468000000,Winters_WTF,7285,42500,9.081196581196581e-05
9/28/2022,921000000,Winters_WTF,7285,43700,4.744842562432139e-05
9/29/2022,482000000,Winters_WTF,7285,9320,1.933609958506224e-05
9/30/2022,,Winters_WTF,7285,,
10/1/2022,,Winters_WTF,7285,,
10/2/2022,,Winters_WTF,7285,,
10/3/2022,,Winters_WTF,7285,,
10/4/2022,1230000000,Winters_WTF,7285,25600,2.08130081300813e-05
10/5/2022,652000000,Winters_WTF,7285,30800,4.723926380368098e-05
10/6/2022,500000000,Winters_WTF,7285,17300,3.46e-05
